"code_muni";"name_muni";"code_state";"abbrev_state";"geom";"latitude";"longitude"
4100103;"abatiá";"41";"PR";list(list(c(-50.2340085115391, -50.2360551589862, -50.2355187230296, -50.2375857114609, -50.2324352071851, -50.2292869572686, -50.2249388364474, -50.2261267236225, -50.2282550744182, -50.226703600936, -50.2223183180115, -50.2150793638769, -50.2105954296454, -50.2047212385916, -50.2022814239854, -50.205949910717, -50.2129692812664, -50.2127330954365, -50.2104370677971, -50.2037284779415, -50.2000696113895, -50.1915725542878, -50.1928878055151, -50.1996408171943, -50.2060978896776, -50.2062186483351, 
-50.1997812179454, -50.2043979252147, -50.2020905646265, -50.2045167247201, -50.2046669497701, -50.2069207894954, -50.2081606365243, -50.2130954773713, -50.2145416383642, -50.2220725099829, -50.2206594980871, -50.2124475852927, -50.2132888546925, -50.2155908096923, -50.2175519445824, -50.2194712034306, -50.219146775709, -50.2155348701423, -50.2143320369295, -50.2162925972472, -50.2167993146471, -50.2142625306698, -50.2140068371001, -50.2203549754213, -50.2180153403901, -50.2199909675599, -50.2255784119073, 
-50.230802187758, -50.2319207411121, -50.2310117382639, -50.2333838484785, -50.2364892946416, -50.238534791798, -50.241031616, -50.247098004247, -50.2586318840969, -50.263036185592, -50.2729482964779, -50.2761579277925, -50.2835209067506, -50.2901364342561, -50.2987948394639, -50.3041774253174, -50.3055753057831, -50.3076258036727, -50.3078570308357, -50.3106165412928, -50.3100872346587, -50.3133911113123, -50.3143666974112, -50.3163337267408, -50.3283559272525, -50.334927409537, -50.3407672150528, 
-50.3455283812751, -50.3480039399707, -50.3530629687786, -50.3568299178221, -50.3595354048037, -50.3660289616432, -50.3710774164325, -50.379061976157, -50.3822953258098, -50.3857535714794, -50.3887081079304, -50.3919755556159, -50.3941562990695, -50.3976665581358, -50.3985683064684, -50.4025243144751, -50.4050367108412, -50.4094081114283, -50.4108873617689, -50.4145855888256, -50.421493658216, -50.4251926249702, -50.4386819861412, -50.4492931440333, -50.4515943372699, -50.4564394232035, -50.4600973657387, 
-50.4638582858389, -50.4627686707587, -50.4698197936037, -50.4723235844476, -50.4736204979035, -50.4764623948074, -50.4775539957954, -50.481101615057, -50.4760965223194, -50.4704551333908, -50.4664246008924, -50.4656879567017, -50.4724196762785, -50.467749961753, -50.4657222749861, -50.4626401385728, -50.464494292171, -50.4642474386654, -50.4671929746781, -50.4671978356079, -50.4654122239468, -50.4610830865203, -50.4584450884623, -50.4562744901865, -50.4502756612639, -50.4496385957388, -50.438941909778, 
-50.4400819380894, -50.4386619233877, -50.4324449399159, -50.4309974643382, -50.4283113899841, -50.4183883329199, -50.4106658867862, -50.4029958072519, -50.396858738041, -50.3932196658606, -50.3813043582873, -50.3743868321767, -50.3710547846047, -50.3667498233002, -50.3589154839524, -50.3522499298042, -50.346249681191, -50.346010482971, -50.3338544289014, -50.3342442067229, -50.3197473234907, -50.3167502197689, -50.3154795158087, -50.3111466569602, -50.3066895553478, -50.3025884668219, -50.299163244371, 
-50.297312254292, -50.2933074303674, -50.2891378522317, -50.280730254339, -50.2792962535749, -50.2793686156248, -50.2733972961156, -50.2725601123107, -50.2743075906596, -50.2706048324707, -50.2670594186822, -50.2671333983006, -50.2641268395927, -50.2604123293363, -50.2602202956072, -50.2561237343234, -50.2530653616497, -50.2515528893738, -50.2487494495585, -50.2530547042084, -50.2504864105227, -50.2423115908966, -50.2406802476887, -50.2340085115391, -23.2378618034694, -23.2353952733883, -23.2291595510557, 
-23.2273895110928, -23.2255379775135, -23.2270737856604, -23.2244288901899, -23.2310462629566, -23.233839940412, -23.2364895314174, -23.238067632938, -23.2386546747839, -23.2336547645566, -23.2325467587809, -23.2481412074148, -23.2543577775877, -23.2584902957362, -23.2609297194409, -23.2633673058338, -23.2654369325886, -23.2758844238156, -23.2831149826356, -23.2856514179772, -23.2850899945604, -23.2869265543145, -23.2888732821384, -23.2943904624017, -23.2969651829291, -23.2992201660396, -23.3014579257796, 
-23.3038804967776, -23.3042009104154, -23.302312279374, -23.3007165165829, -23.3027240490552, -23.3061511058234, -23.3096026625055, -23.3152867535232, -23.318176794524, -23.3184649131581, -23.321530697115, -23.3220033854801, -23.3300016871035, -23.3310253777931, -23.3330150149178, -23.3343128050999, -23.3374841855765, -23.3401502882016, -23.3439533136383, -23.3468364234908, -23.3484452552057, -23.3503240120117, -23.3485778709374, -23.3497583738567, -23.3515091079474, -23.3543173736462, -23.3572685037202, 
-23.3559086341171, -23.3564337657592, -23.3544857767904, -23.3572313296972, -23.3545307632238, -23.3575651558419, -23.3580968439948, -23.3594353947159, -23.3663056498768, -23.3652965659129, -23.3704422760814, -23.3824115384768, -23.3828484513776, -23.3823702367305, -23.377174075091, -23.3753284839609, -23.3702081673961, -23.3648426461268, -23.357410710182, -23.35604314498, -23.3557976870923, -23.3580279945393, -23.3552033221935, -23.3557084087634, -23.3579752066585, -23.3573599140814, -23.3601327170306, 
-23.3567511328865, -23.3565492305684, -23.3601241716451, -23.3598173939452, -23.3564655844859, -23.3484931307941, -23.3485188215934, -23.3443560041718, -23.3470923559168, -23.3469322756757, -23.341433597519, -23.3398282566718, -23.3406090384731, -23.3369769460044, -23.3291126068573, -23.3237940163208, -23.3229128995421, -23.3193325563334, -23.3175841445906, -23.3114446633495, -23.30665608711, -23.3088485625704, -23.3082394312548, -23.3035908390286, -23.2980592478724, -23.290029862515, -23.2850389114874, 
