"start_city";"abatiá";"adrianópolis";"agudos do sul";"almirante tamandaré";"altamira do paraná";"alto paraíso";"alto paraná";"alto piquiri";"altônia";"alvorada do sul";"amaporã";"ampére";"anahy";"andirá";"ângulo";"antonina";"antônio olinto";"apucarana";"arapongas";"arapoti";"arapuã";"araruna";"araucária";"ariranha do ivaí";"assaí";"assis chateaubriand";"astorga";"atalaia";"balsa nova";"bandeirantes";"barbosa ferraz";"barra do jacaré";"barracão";"bela vista da caroba";"bela vista do paraíso";"bituruna";"boa esperança do iguaçu";"boa esperança";"boa ventura de são roque";"boa vista da aparecida";"bocaiúva do sul";"bom jesus do sul";"bom sucesso do sul";"bom sucesso";"borrazópolis";"braganey";"brasilândia do sul";"cafeara";"cafelândia";"cafezal do sul";"califórnia";"cambará";"cambé";"cambira";"campina da lagoa";"campina do simão";"campina grande do sul";"campo bonito";"campo do tenente";"campo largo";"campo magro";"campo mourão";"cândido de abreu";"candói";"cantagalo";"capanema";"capitão leônidas marques";"carambeí";"carlópolis";"cascavel";"castro";"catanduvas";"centenário do sul";"cerro azul";"céu azul";"chopinzinho";"cianorte";"cidade gaúcha";"clevelândia";"colombo";"colorado";"congonhinhas";"conselheiro mairinck";"contenda";"corbélia";"cornélio procópio";"coronel domingos soares";"coronel vivida";"corumbataí do sul";"cruz machado";"cruzeiro do iguaçu";"cruzeiro do oeste";"cruzeiro do sul";"cruzmaltina";"curitiba";"curiúva";"diamante d'oeste";"diamante do norte";"diamante do sul";"dois vizinhos";"douradina";"doutor camargo";"doutor ulysses";"enéas marques";"engenheiro beltrão";"entre rios do oeste";"esperança nova";"espigão alto do iguaçu";"farol";"faxinal";"fazenda rio grande";"fênix";"fernandes pinheiro";"figueira";"flor da serra do sul";"floraí";"floresta";"florestópolis";"flórida";"formosa do oeste";"foz do iguaçu";"foz do jordão";"francisco alves";"francisco beltrão";"general carneiro";"godoy moreira";"goioerê";"goioxim";"grandes rios";"guaíra";"guairaçá";"guamiranga";"guapirama";"guaporema";"guaraci";"guaraniaçu";"guarapuava";"guaraqueçaba";"guaratuba";"honório serpa";"ibaiti";"ibema";"ibiporã";"icaraíma";"iguaraçu";"iguatu";"imbaú";"imbituva";"inácio martins";"inajá";"indianópolis";"ipiranga";"iporã";"iracema do oeste";"irati";"iretama";"itaguajé";"itaipulândia";"itambaracá";"itambé";"itapejara d'oeste";"itaperuçu";"itaúna do sul";"ivaí";"ivaiporã";"ivaté";"ivatuba";"jaboti";"jacarezinho";"jaguapitã";"jaguariaíva";"jandaia do sul";"janiópolis";"japira";"japurá";"jardim alegre";"jardim olinda";"jataizinho";"jesuítas";"joaquim távora";"jundiaí do sul";"juranda";"jussara";"kaloré";"lapa";"laranjal";"laranjeiras do sul";"leópolis";"lidianópolis";"lindoeste";"loanda";"lobato";"londrina";"luiziana";"lunardelli";"lupionópolis";"mallet";"mamborê";"mandaguaçu";"mandaguari";"mandirituba";"manfrinópolis";"mangueirinha";"manoel ribas";"marechal cândido rondon";"maria helena";"marialva";"marilândia do sul";"marilena";"mariluz";"maringá";"mariópolis";"maripá";"marmeleiro";"marquinho";"marumbi";"matelândia";"matinhos";"mato rico";"mauá da serra";"medianeira";"mercedes";"mirador";"miraselva";"missal";"moreira sales";"morretes";"munhoz de melo";"nossa senhora das graças";"nova aliança do ivaí";"nova américa da colina";"nova aurora";"nova cantu";"nova esperança do sudoeste";"nova esperança";"nova fátima";"nova laranjeiras";"nova londrina";"nova olímpia";"nova prata do iguaçu";"nova santa bárbara";"nova santa rosa";"nova tebas";"novo itacolomi";"ortigueira";"ourizona";"ouro verde do oeste";"paiçandu";"palmas";"palmeira";"palmital";"palotina";"paraíso do norte";"paranacity";"paranaguá";"paranapoema";"paranavaí";"pato bragado";"pato branco";"paula freitas";"paulo frontin";"peabiru";"perobal";"pérola d'oeste";"pérola";"piên";"pinhais";"pinhal de são bento";"pinhalão";"pinhão";"piraí do sul";"piraquara";"pitanga";"pitangueiras";"planaltina do paraná";"planalto";"ponta grossa";"pontal do paraná";"porecatu";"porto amazonas";"porto barreiro";"porto rico";"porto vitória";"prado ferreira";"pranchita";"presidente castelo branco";"primeiro de maio";"prudentópolis";"quarto centenário";"quatiguá";"quatro barras";"quatro pontes";"quedas do iguaçu";"querência do norte";"quinta do sol";"quitandinha";"ramilândia";"rancho alegre d'oeste";"rancho alegre";"realeza";"rebouças";"renascença";"reserva do iguaçu";"reserva";"ribeirão claro";"ribeirão do pinhal";"rio azul";"rio bom";"rio bonito do iguaçu";"rio branco do ivaí";"rio branco do sul";"rio negro";"rolândia";"roncador";"rondon";"rosário do ivaí";"sabáudia";"salgado filho";"salto do itararé";"salto do lontra";"santa amélia";"santa cecília do pavão";"santa cruz de monte castelo";"santa fé";"santa helena";"santa inês";"santa isabel do ivaí";"santa izabel do oeste";"santa lúcia";"santa maria do oeste";"santa mariana";"santa mônica";"santa tereza do oeste";"santa terezinha de itaipu";"santana do itararé";"santo antônio da platina";"santo antônio do caiuá";"santo antônio do paraíso";"santo antônio do sudoeste";"santo inácio";"são carlos do ivaí";"são jerônimo da serra";"são joão do caiuá";"são joão do ivaí";"são joão do triunfo";"são joão";"são jorge d'oeste";"são jorge do ivaí";"são jorge do patrocínio";"são josé da boa vista";"são josé das palmeiras";"são josé dos pinhais";"são manoel do paraná";"são mateus do sul";"são miguel do iguaçu";"são pedro do iguaçu";"são pedro do ivaí";"são pedro do paraná";"são sebastião da amoreira";"são tomé";"sapopema";"sarandi";"saudade do iguaçu";"sengés";"serranópolis do iguaçu";"sertaneja";"sertanópolis";"siqueira campos";"sulina";"tamarana";"tamboara";"tapejara";"tapira";"teixeira soares";"telêmaco borba";"terra boa";"terra rica";"terra roxa";"tibagi";"tijucas do sul";"toledo";"tomazina";"três barras do paraná";"tunas do paraná";"tuneiras do oeste";"tupãssi";"turvo";"ubiratã";"umuarama";"união da vitória";"uniflor";"uraí";"ventania";"vera cruz do oeste";"verê";"virmond";"vitorino";"wenceslau braz";"xambrê"
"abatiá";Inf;379799;444575;403139;437927;447009;282019;421082;462341;173358;336861;629560;441435;41863;214296;477384;425916;176093;158116;156044;297174;309201;381546;310105;88451;450052;186418;232695;370786;19186;276964;52201;700843;639185;144670;540351;607794;366106;395008;543841;435153;688354;609676;217623;250628;476687;440904;228723;452257;408249;192964;60577;134596;191966;406083;407954;444264;506296;403790;361416;379555;307195;338596;459810;481296;621530;574123;247538;96674;484855;227794;526691;208741;288609;530142;548725;300382;370316;608205;413118;260633;51971;62582;398216;455738;58654;596674;556581;292559;506623;603873;355873;285160;231749;392932;142843;564397;421061;565332;618452;416234;257835;241458;641985;276617;565530;450787;557639;333852;218902;404938;266444;346103;115115;663478;273718;246383;173644;228612;422074;622467;492311;448263;620307;496845;290027;379936;477668;253345;492048;329549;322032;54571;356400;199860;541619;408102;560447;514585;580283;85668;525415;106258;455063;204819;456470;216972;305135;391040;301849;326485;257670;432411;452113;358376;360785;258396;594585;38238;245632;588250;400613;386178;335603;285082;425430;261442;77704;61136;178192;174861;197584;352749;86847;315545;275154;277700;98909;435364;68076;29099;376591;284912;229522;369663;453367;503114;79076;264236;526408;378202;241378;123753;324626;280188;221670;396576;346533;245742;190563;417229;653771;539583;320672;533787;415384;201753;204328;376398;386932;219757;615841;489445;628534;459167;214597;550730;504248;409065;202700;565369;532261;340665;192036;592964;372160;462328;208027;221012;326453;83955;436267;435307;629130;267255;37820;517841;371917;391720;591755;85583;501137;362104;207912;249083;260716;539793;234063;591333;319619;421961;473267;325279;282684;484700;274575;298915;556341;588678;443267;413150;292396;397767;632896;430262;462328;411340;647056;99040;461413;195640;423775;349751;183476;353542;630491;266329;495582;187237;342008;521744;395900;478936;180354;659116;257092;144668;341668;393878;76057;425747;526926;566007;425013;283943;430120;557302;395253;106701;608548;355876;627202;506475;264965;89869;14623;371285;213453;525528;284371;420249;423213;145584;386534;345847;284944;171224;664765;119811;611010;15529;76841;397624;221190;596648;249704;406538;616115;546012;382853;42810;406651;503670;600780;153914;39363;325014;53890;665550;235918;293152;100868;310374;257290;368133;570470;600898;273619;460735;140590;564756;405095;340235;395636;580014;547427;239905;397459;68585;317226;134059;213360;551308;172466;576763;88304;126244;93526;573714;176992;307060;330879;382958;329993;189793;299006;355764;484369;185931;447436;495867;110708;561934;399206;342550;469139;396405;402884;382708;458254;280953;83495;140949;536445;603895;489881;602268;119900;403093
"adrianópolis";379799;Inf;228895;156469;614610;788535;700673;762608;803867;549044;755515;692901;710436;389080;579325;210914;300541;544247;523145;278025;572295;641763;187292;567373;441953;738365;551447;597723;217162;398818;635326;373622;715302;725086;520762;485229;654803;677937;480963;652251;128126;725823;624134;587729;541604;646222;761900;584770;704949;749775;526266;372039;499625;559237;666185;485541;152044;611845;251023;195218;182116;620726;476943;474269;495755;729940;682533;303173;290981;663324;322209;635261;564789;115570;708611;563183;688067;755633;577633;146569;632986;405214;352790;205681;681205;424675;571784;571039;619753;454576;631287;697399;657513;522725;163740;376509;742866;731768;592745;632910;763745;622864;104846;656444;655519;775780;792313;585052;645682;509878;189257;631149;315777;370413;677936;638747;611412;549682;627825;733905;800936;506769;784333;634765;444797;611399;691766;492127;544321;806741;748204;368168;326527;746329;584388;593145;422560;293977;303759;594741;340966;608986;471287;780743;569848;658982;400989;343088;372294;667935;724103;336452;773937;733583;339583;573478;627375;773054;408998;615737;602708;143166;739429;381749;575861;770500;626471;331095;349013;543221;258607;564855;664580;333495;723251;579276;651302;463938;742015;308344;355147;684726;705876;558831;235372;582661;530527;444105;589305;704877;796857;625988;488782;600988;593378;577718;377830;654668;610771;555592;201549;668229;554041;537448;743227;739776;566781;520537;760404;716180;584786;600095;740234;642992;563523;574380;729199;266449;549565;493245;743838;762723;759320;569335;771433;703034;206967;573056;603011;745108;441520;717736;636918;670160;632284;391322;545254;754050;734401;681437;443792;744483;549919;563231;436754;625745;721131;599092;539286;247808;551255;759151;743934;655037;246901;648176;717569;765781;603137;391220;377185;639058;739293;718797;771788;246648;162512;690568;324309;475872;303003;168110;505142;548505;772196;719485;280431;257783;536354;244285;549158;791998;426889;571390;733821;622120;520760;368196;705708;307128;157940;736366;593420;843668;648648;227290;735771;707083;493984;690452;337130;641661;520934;403312;318737;366512;352539;536184;552941;513365;134661;268271;510613;599387;735003;480595;536253;679223;260091;662470;395162;430343;816279;606004;775117;618683;802356;682302;686540;512147;422443;778786;682139;779249;256621;343583;697368;407391;731061;605202;658181;428784;682727;608317;293165;584929;615356;638648;802261;251559;746094;175209;735560;320668;758483;728765;625607;791779;422086;714844;396530;578389;578721;219270;755232;453333;502337;288968;596014;518237;725714;691994;753464;305310;430752;673218;727717;789039;384653;236610;705526;309503;626197;87962;673249;706022;457167;711018;724234;406207;671500;448524;334573;714914;618353;504339;616726;290876;744619
"agudos do sul";444575;228895;Inf;87101;507724;681650;561390;655722;696982;542585;616232;540778;603551;462693;531821;140298;154953;437362;453585;309624;465410;534877;67205;460488;442836;631479;486813;550219;103421;461275;528441;452796;547090;587504;515469;300898;547917;571051;374078;545366;111075;557612;469654;480843;434719;539337;655015;566646;598063;642890;419381;460047;470198;452352;559299;378655;107179;504960;55711;88333;84851;513841;370058;367383;388869;623054;575648;196288;426349;556439;215323;528376;548833;159541;601726;456298;581182;648747;393302;97079;582271;413029;385081;61989;574319;458869;387453;464154;512868;272784;524401;590513;574887;415840;70354;343188;635980;664539;485860;526025;656859;537207;206708;549558;548634;668895;685428;478167;538797;402992;40995;524264;208892;365451;509724;553089;580986;544444;546137;627019;694051;399884;677448;484497;260466;504514;584881;385241;437436;699855;608921;261282;405645;639444;535461;486260;315675;223362;114336;421180;356931;502100;468961;673857;526149;552097;294104;236202;265409;599579;617217;229567;667052;626697;232698;466593;607878;666169;480327;508852;495823;105833;665550;274864;468976;663615;601157;376995;444529;513794;291561;457969;557694;364342;616365;472391;627164;461611;635129;397752;416044;577840;598991;451946;91268;475776;423641;478299;482420;597992;657574;561591;462845;494103;486492;559593;243260;547782;525113;468788;27954;516106;429755;430562;636342;632891;481124;413651;655769;609295;499128;415764;633349;475582;456637;467494;622313;167163;442680;386360;636953;655837;620037;527753;664548;596148;125243;508422;561551;605825;444980;610850;530033;563274;546626;426755;438369;651288;627516;574551;410471;637598;443034;456346;329868;540087;614246;513434;354955;140923;444370;652265;604650;578606;147614;612590;578286;658896;438411;233601;219566;532173;632407;581215;664902;18846;73940;538445;378451;368986;248041;86690;398256;483871;632913;581904;173546;158497;558037;120267;442272;675272;242540;515956;578280;536463;522226;261311;598823;391624;88347;629480;486535;732716;541762;31978;628885;600198;490921;556171;230245;469561;414048;296427;456043;427409;245654;429299;446056;406479;104210;72958;481186;492501;628118;373709;471619;524590;399676;555585;457619;419629;705326;546514;668231;587627;695470;575417;579654;405262;473386;671900;575254;672364;373522;422757;613829;429396;571780;573841;572523;395463;599604;501431;186280;478043;508471;552990;695376;360197;639208;68010;628674;163437;651598;621879;518721;676830;426266;607959;363209;492731;471836;329808;648347;487526;495849;370751;489129;411352;586434;585108;646578;198424;323866;566333;635136;682153;277768;19586;598641;363645;519311;144095;566363;599136;350282;604132;617348;221303;560324;467715;301251;608028;511468;397454;444626;345821;637734
"almirante tamandaré";403139;156469;87101;Inf;455752;629677;509417;603750;645009;490613;564260;534043;551578;410720;479848;85892;155863;385390;401613;257652;413437;482905;42614;408515;390864;579507;434841;498246;58304;409303;476468;400823;556444;566228;463497;326371;495945;519079;322105;493393;32762;566965;465276;428871;382746;487364;603042;514673;546091;590918;367409;408075;418226;400380;507327;326683;32615;452987;108446;36360;23258;461869;318085;315411;336897;571080;523675;144315;374377;504467;163351;476403;496861;71285;549753;404325;529210;596775;418775;9905;530299;361057;333109;61004;522347;406897;412927;412181;460895;295718;472429;538541;522915;363868;15513;291216;584008;612567;433887;474053;604887;485234;118452;497586;496662;616922;633455;426194;486824;351020;46680;472292;156919;313478;519078;501117;529013;492471;494164;575047;642078;347911;625476;475907;285940;452542;532908;333269;385464;647883;556948;209310;353672;587472;483489;434287;263702;168956;156311;435884;304958;450128;416988;621885;474176;500125;242131;184230;213436;547607;565245;177594;615080;574725;180725;414621;555905;614197;428355;456880;443850;17577;613577;222891;417003;611643;549184;325023;392557;461822;239589;405997;505722;312370;564393;420419;575192;409639;583157;345779;364072;525868;547018;399973;90695;423803;371669;426326;430448;546019;605601;509618;410873;442130;434520;507620;218973;495810;473141;416815;58972;509372;395183;378590;584370;580918;429151;361679;603797;557322;447156;441238;581376;484135;404665;415522;570341;123922;390707;334387;584980;603865;568064;475781;612575;544176;82001;456450;509578;553852;393007;558878;478060;511302;494654;374782;386396;599316;575543;522579;358499;585626;391061;404373;277896;488115;562273;461462;380428;88950;392398;600293;552678;526633;104373;560618;526314;606923;444279;232362;218327;480200;580435;559939;612930;104071;21934;531710;326478;317014;196069;65501;346284;431899;580941;560627;121574;115256;506064;85427;390300;623299;268031;463984;574963;484490;470254;209338;546850;339652;32918;577508;434562;680743;489790;84713;576913;548226;438949;531594;178273;482803;362076;244454;404071;375437;193682;377326;394084;354507;15954;125694;429213;440529;576145;321737;419647;520366;347704;503612;405646;367656;653354;494541;616259;535655;643498;523445;527682;353289;421413;619928;523282;620391;321549;370784;561857;377424;572203;521868;520551;343490;547632;449459;134307;426071;456498;501018;643404;308225;587236;46822;576702;161811;599625;569907;466749;624858;374294;555986;311237;440759;419863;277836;596374;435554;443877;318779;437156;359379;534459;533136;594606;146452;271894;514361;583163;630181;225795;89162;546668;311672;467339;69411;514391;547164;298310;552160;565376;247349;508351;415743;249279;556056;459495;345481;457868;293849;585761
"altamira do paraná";437927;614610;507724;455752;Inf;230479;276091;191020;239714;384003;280485;291254;103129;439797;266141;538200;386818;284131;289938;481649;222325;151711;442362;217403;367109;135973;278550;272197;431603;433002;192059;450134;351900;300879;353756;322726;269488;87998;155965;205535;495969;350048;256789;239832;263763;138381;162915;317167;113951;185623;301649;458510;312475;268606;31930;130089;505080;83344;452739;422232;440371;130674;228748;182245;157771;283224;235817;373273;527295;146549;392308;188385;322396;536395;191836;206859;198015;213655;310858;473934;313662;417991;491911;448109;117432;388560;308758;226682;176486;321096;235029;153237;289589;272274;453748;422765;226091;325419;137328;257213;221767;229659;567291;303181;169992;256136;228160;188795;121074;287586;465754;204878;312543;449345;310591;263586;202344;337081;280457;135815;284161;213508;208743;267420;377619;257031;100991;134570;302500;248745;323622;278939;483901;244011;302199;94310;199523;621263;575401;256696;481645;93491;336825;227411;260469;118164;351731;304946;255746;314281;221785;347675;209784;113807;293475;139632;338672;256279;436187;211639;235363;461429;315308;308689;225891;217168;222515;501710;475514;300054;501049;262925;101619;489057;220933;229306;340710;347625;122240;498698;458429;64126;220349;273420;418612;32318;134269;401661;239335;188102;265345;295911;324308;157570;238695;333016;326182;98418;239815;255848;478046;329082;257033;187477;223584;192084;243009;313013;305528;134040;226862;288332;175366;275648;90323;258495;212424;565065;114899;308719;227063;243079;272675;327218;254658;127266;523144;272440;295871;268134;389331;97961;54359;290824;261328;418600;148997;301046;192423;253449;399241;190654;152387;291378;361228;246203;201487;227463;325477;369332;63594;182946;257289;293307;545516;327292;292988;246138;261170;372873;342756;153531;175140;294590;207635;491378;472156;308750;501249;242085;478324;484591;136966;294747;266239;292185;358407;556399;350674;390957;152900;287236;373568;315421;320810;251165;380474;261220;109144;506679;486563;216722;197163;297623;183752;479069;218996;83443;390436;270242;318622;279333;238928;300227;508965;443947;312995;306766;156684;256388;481065;472162;301036;92655;232685;275447;293710;340076;550432;272704;451448;390499;270234;280834;258342;334698;260378;277809;207706;104988;403948;236808;165364;262474;546945;480555;328531;400422;327244;320912;283020;414526;314306;224294;356956;209231;239659;234971;238108;533621;226450;465912;233242;357003;241708;209121;227970;285959;385894;212526;447716;232688;182464;539676;238457;392997;356280;524147;204870;333425;271481;172098;211486;323306;376123;187691;349837;220202;387830;508252;164107;512680;223628;532618;161611;130833;157363;64578;168232;402886;275026;377965;428641;198139;251008;148137;274759;519245;186563
"alto paraíso";447009;788535;681650;629677;230479;Inf;195052;89073;76255;369873;160419;340058;197958;440913;246517;711628;560247;289806;291054;578397;319073;159185;615790;314151;368225;134932;273813;229148;605031;434118;234716;451250;400703;349682;359832;504398;343653;162984;329393;279700;669397;398851;425431;270530;309512;233210;108895;303865;189360;66466;307324;459626;313591;274281;197973;342339;678508;274862;626167;595660;613799;169923;325496;399821;375347;332027;284352;520603;528411;211329;539638;262549;312967;709824;237642;418781;149468;110829;514785;647362;261764;419107;493028;621537;212261;389676;520679;438603;219143;504114;357457;92236;237691;318023;627176;471911;250901;205353;320495;379731;58534;192563;664039;377346;200690;228558;42580;332770;167331;333335;639182;235575;485971;488866;402893;189778;233042;332344;242711;163098;329967;431084;106480;402627;559291;287729;129741;409672;348249;150265;199128;452367;485017;140755;286257;277478;372951;794691;748829;468618;482761;261273;337941;20356;255732;212994;448479;478374;429174;243656;139555;527434;90628;156740;466903;236393;272342;300318;437303;242336;422444;634857;195243;435481;293958;49077;200063;502826;476630;295317;597797;268600;149628;490173;167166;284030;270085;348742;149295;499814;459545;173741;164937;304117;592040;262114;346191;402777;285084;248995;145279;252110;325425;200227;269393;301517;499610;206412;228821;256964;651474;377885;468954;284226;178020;92291;244125;318687;185462;99931;225986;492260;146966;412345;385026;289193;258230;738493;284673;354467;272869;190478;169419;331147;292873;120382;696572;267703;275149;164878;390447;173074;227197;364989;216137;419716;326173;180981;87846;327614;400357;159353;249135;297053;406977;213712;198188;214082;537398;542760;356347;131484;154032;241409;718944;256667;183607;219369;465017;546301;516184;184228;77102;343394;45266;664807;645584;357553;502366;425461;575072;658020;285694;290010;146173;340988;505737;729827;341138;564385;364822;167171;555240;310684;369613;205843;398782;434649;140475;507795;659991;179055;325190;72927;214449;652497;247020;148872;391554;319045;492050;418557;456504;396976;510081;445063;486423;312441;368605;353136;654493;645590;302152;262142;129460;379847;288973;388879;551548;346869;452564;391615;150168;264892;253759;280890;140312;326612;268598;317238;405065;116742;226667;308280;570926;481672;228607;401539;376047;289413;171224;415642;214382;254992;530384;401950;370745;202480;52528;557602;223151;639340;151454;530431;287514;207686;258668;165893;387010;158759;448832;233804;394385;636424;284263;394113;357396;525263;396848;379174;168225;116654;91613;496734;472871;171204;225343;142586;484578;681680;177074;513796;297793;706046;114763;164064;330791;194773;65840;584558;223127;379081;525390;222827;407370;365713;444512;538022;43575
"alto paraná";282019;700673;561390;509417;276091;195052;Inf;200407;241667;177568;56127;459577;271451;276206;54212;575674;524206;125099;126347;401902;192937;139218;479836;205868;203518;246267;81508;36843;469076;269411;153533;286544;520222;469202;167527;478561;437810;196123;303556;373858;533443;518370;534182;123644;151877;306703;220229;111560;268816;187575;142617;294920;148884;109574;236100;316502;542554;336313;502080;459706;477844;137211;262143;398020;419507;451546;404139;389331;363705;314872;382349;356707;120662;573869;360158;486935;103190;89582;546415;511408;69459;254401;328321;496506;285754;224970;534884;494791;169128;478277;451615;156894;45386;171264;491222;307204;362236;104434;414653;473889;135500;78797;487544;471503;106634;349666;230112;426928;163868;186577;503228;142165;444393;324159;522413;41443;76400;140039;50406;241854;452484;430521;227588;496784;533453;174616;202924;383835;201490;271373;48816;420322;320311;75666;93952;371635;347113;658737;612875;518493;318055;355431;173234;174329;63427;286487;271258;403425;403337;68774;76529;396162;211737;268534;441066;210556;94468;424602;272597;89509;512756;498903;105445;358111;180845;144696;86298;338119;311924;103013;421302;103893;182766;325467;64822;170917;95203;184035;255144;335107;294839;206608;90897;135542;467953;300241;411662;238071;176181;356425;97468;59805;160718;174390;156280;109212;473773;176550;36516;92258;515519;497404;477793;216435;326328;134650;79419;153981;95664;187953;57676;554051;268074;506503;367715;120618;380746;602538;258836;175404;395385;311587;59932;138842;422981;174015;560618;75398;82844;45720;225741;252687;265324;459147;23832;255010;420331;91183;110986;421771;235650;280462;223298;132347;235521;47307;309523;62691;551603;417909;330509;252593;44545;49104;582990;81785;18181;340477;526888;520464;490347;122413;177092;462913;209587;560618;509630;477072;337659;399624;398577;522065;259857;97706;72808;460507;374465;593872;148833;440298;430292;115167;529403;118379;489132;25914;206477;408811;213658;343088;524037;319467;419347;144279;121040;528409;387318;225269;226848;438565;454166;512715;444686;319250;345374;280357;469575;147734;434076;232516;518539;521503;137446;236305;65113;233089;96668;508398;386842;441026;287858;226908;116890;72587;372625;102951;125804;446131;376029;291401;240358;125917;333687;430797;406220;316965;53724;236832;495566;97108;44485;250936;39499;141879;466423;486624;464903;50172;240061;392896;334485;503385;59501;493926;410030;319020;123756;116725;222304;95733;284126;70256;459856;459929;406780;229406;192689;360557;482262;188275;26329;132734;102224;428283;292914;100186;75031;263694;318474;545726;288408;349090;391951;570092;144405;275399;304953;232900;159073;558721;30822;214375;343887;334161;501527;425529;540478;373315;182419
"alto piquiri";421082;762608;655722;603750;191020;89073;200407;Inf;77935;376529;177431;260635;118535;414941;240091;685657;534275;263835;265083;552426;293102;133213;589819;288179;342254;55509;251703;222722;579059;408146;208745;425279;321280;270259;328900;460879;264229;130975;303422;200277;643426;319428;346007;244558;283541;153787;29472;310521;109937;23843;281352;433655;287620;248309;159247;316368;652537;195439;600196;569689;587828;143952;299525;320398;295924;252604;204929;494632;502440;131906;513667;183126;319623;683852;158219;339358;123497;111138;435362;621391;268420;393136;467056;595565;132838;363705;441256;359180;193172;459248;278034;66265;244347;292052;601205;445939;171478;222365;241072;300308;98704;166591;638067;297923;174719;167314;66381;253347;135322;307364;613211;209604;460000;462894;323470;196435;207070;310234;236285;43649;250544;351661;63857;323204;515772;261758;97732;327705;322278;107641;230359;426396;459046;147411;275352;198054;346979;768720;722858;389194;456790;181850;311969;109266;233621;133571;422507;452403;403203;250313;146419;501463;48005;77317;440932;210422;278998;220895;411332;216365;343020;608886;212255;409510;267987;91404;174092;476855;450659;273207;571825;242629;117619;464202;146414;258058;276741;322770;69872;473843;433574;141732;138965;278146;566069;223388;266768;376806;259113;169571;162291;245685;299453;174256;243422;308174;473639;170292;202432;230993;625502;298462;389531;258254;135571;66320;218154;292716;202474;67922;200014;412837;88080;332922;305603;263222;178807;712522;249012;328496;193446;147855;176075;300371;213450;88373;670601;245593;268723;171534;364476;93651;188471;285566;211853;393745;246750;197993;89454;248191;374386;103368;223164;271082;381005;187740;118765;188111;457975;516788;254665;74765;160689;248065;692973;263324;190263;158125;385594;520330;490213;158257;24080;263970;45855;638835;619613;278130;476394;380238;549101;632048;259722;267900;163185;261565;479766;703855;347795;538414;285399;184183;511721;288574;290190;201604;355619;408677;108466;481823;634020;128710;245767;140614;188478;626526;167597;116863;365583;239622;466079;339134;377081;371004;484109;419092;460451;286469;289182;327165;628522;619619;276181;226767;136116;353876;266862;309456;525577;267446;426593;365644;167181;253987;181868;287546;157325;247189;189175;291267;379093;133755;147244;228857;544955;455700;235263;375567;296624;296070;177880;389671;221038;229020;504413;322527;291322;176508;76329;531631;143728;613368;158110;504460;208091;128263;232696;182906;361039;138008;422861;207833;314962;610453;204840;368141;331425;499292;317425;353202;174881;90683;108432;470762;446900;145232;256574;99963;458607;655709;97651;487825;218370;680075;88792;84641;304819;128734;42468;541039;229784;353110;499418;143404;327947;286290;365089;512051;60799
"altônia";462341;803867;696982;645009;239714;76255;241667;77935;Inf;418477;219379;289547;186884;456889;282038;727604;576223;305782;307030;594373;335049;175161;631766;330127;384201;123858;293650;264670;621007;450094;250692;467227;350192;299172;370848;495656;299007;172923;345369;235054;685373;348340;380785;286506;325488;216316;97821;352469;178286;55125;323300;475602;329567;290257;207911;358316;694485;230216;642143;611636;629775;185899;341472;355175;330701;281516;233841;536579;544388;165447;555614;217904;361571;725800;187131;374135;165444;153086;470139;663338;310367;435083;509004;637513;194454;405652;476033;393957;235119;494026;312811;108212;286295;333999;643152;487887;200391;264313;275850;335085;134762;208539;680015;332700;216666;163572;24156;288124;177269;349311;655158;251551;501947;504842;352383;238382;249018;352181;278232;152024;279457;386438;41494;357981;550549;303705;139680;362482;364225;85279;272307;468343;500993;189358;317300;232832;388927;810668;764805;423972;498738;216628;353917;96583;275569;201919;464455;494350;445151;292260;188366;543410;32145;145665;482879;252369;320945;229333;453279;258312;377798;650834;254202;451458;309934;125304;216040;518802;492606;315155;613773;284576;159566;506150;188362;300006;318689;364718;138221;515790;475521;183679;180913;320094;608017;272053;301545;418754;301060;198484;204239;287632;341401;216203;285369;350121;515586;212240;244379;272941;667450;327374;424308;300202;113035;108267;260101;334664;244422;109869;241962;447614;81980;348423;340380;305169;207719;754469;300649;370444;222358;125493;218022;342319;221888;130320;712548;287540;310670;213482;406424;162000;237135;320343;253801;435692;281527;239940;131402;282968;416333;94368;265111;313029;422953;229688;147678;230058;492752;558736;303330;66498;202636;290013;734920;305271;232211;154383;420371;562278;532160;200205;66027;292883;31239;680783;661561;307042;518342;415015;591048;673996;301670;309848;205132;290477;521714;745803;389742;580361;320176;226130;546498;330521;319102;243551;397566;450625;150413;523771;675968;114069;280544;149154;230426;668473;196509;158811;407528;268535;508026;354635;411858;412952;526057;461040;502399;328417;323959;369112;670469;661566;318129;278118;178064;395823;308810;338368;567525;302223;468540;407591;209128;295934;188773;329493;199272;276101;218088;333215;421041;175702;176157;257770;586903;497648;277210;417515;325536;338017;219828;431618;262986;270968;546360;357304;326099;218456;13938;573578;172640;655316;200057;546407;237003;157175;274644;224853;402987;179955;464808;249780;349739;652400;233753;410089;373372;541240;352202;395150;216828;132630;150380;512710;488848;187180;298522;77600;500554;697657;126563;529772;253147;722022;130739;152990;346767;197083;84415;575816;271731;395058;541366;172316;362724;321067;380590;553998;56467
