"id";"cidade";"latitude";"longitude"
139;"Guaratuba";-25,8817;-48,5752
140;"Honório Serpa";-26,139;-52,3848
141;"Ibaiti";-23,8478;-50,1932
142;"Ibema";-25,1193;-53,0072
143;"Ibiporã";-23,2659;-51,0522
144;"Icaraíma";-23,3944;-53,615
145;"Iguaraçu";-23,1949;-51,8256
146;"Iguatu";-24,7153;-53,0827
147;"Imbaú";-24,448;-50,7533
148;"Imbituva";-25,2285;-50,5989
149;"Inácio Martins";-25,5704;-51,0769
150;"Inajá";-22,7509;-52,1995
151;"Indianópolis";-23,4762;-52,6989
152;"Ipiranga";-25,0238;-50,5794
153;"Iporã";-24,0083;-53,706
154;"Iracema do Oeste";-24,4262;-53,3528
155;"Irati";-25,4697;-50,6493
156;"Iretama";-24,4253;-52,1012
157;"Itaguajé";-22,6183;-51,9674
158;"Itaipulândia";-25,1366;-54,3001
159;"Itambaracá";-23,0181;-50,4097
160;"Itambé";-23,6601;-51,9912
161;"Itapejara d'Oeste";-25,9619;-52,8152
162;"Itaperuçu";-25,2193;-49,3454
163;"Itaúna do Sul";-22,7289;-52,8874
164;"Ivaí";-25,0067;-50,857
165;"Ivaiporã";-24,2485;-51,6754
166;"Ivaté";-23,4072;-53,3687
167;"Ivatuba";-23,6187;-52,2203
168;"Jaboti";-23,7435;-50,0729
169;"Jacarezinho";-23,1591;-49,9739
170;"Jaguapitã";-23,1104;-51,5342
171;"Jaguariaíva";-24,2439;-49,7066
172;"Jandaia do Sul";-23,6011;-51,6448
173;"Janiópolis";-24,1401;-52,7784
174;"Japira";-23,8142;-50,1422
175;"Japurá";-23,4693;-52,5557
176;"Jardim Alegre";-24,1809;-51,6902
177;"Jardim Olinda";-22,5523;-52,0503
178;"Jataizinho";-23,2578;-50,9777
179;"Jesuítas";-24,3839;-53,3849
180;"Joaquim Távora";-23,4987;-49,909
181;"Jundiaí do Sul";-23,4357;-50,2496
182;"Juranda";-24,4209;-52,8413
183;"Jussara";-23,6219;-52,4693
184;"Kaloré";-23,8188;-51,6687
185;"Lapa";-25,7671;-49,7168
186;"Laranjal";-24,8862;-52,47
187;"Laranjeiras do Sul";-25,4077;-52,4109
188;"Leópolis";-23,0818;-50,7511
189;"Lidianópolis";-24,11;-51,6506
190;"Lindoeste";-25,2596;-53,5733
191;"Loanda";-22,9232;-53,1362
192;"Lobato";-23,0058;-51,9524
193;"Londrina";-23,304;-51,1691
194;"Luiziana";-24,2853;-52,269
195;"Lunardelli";-24,0821;-51,7368
196;"Lupionópolis";-22,755;-51,6601
197;"Mallet";-25,8806;-50,8173
198;"Mamborê";-24,317;-52,5271
199;"Mandaguaçu";-23,3458;-52,0944
200;"Mandaguari";-23,5446;-51,671
201;"Mandirituba";-25,777;-49,3282
202;"Manfrinópolis";-26,1441;-53,3113
203;"Mangueirinha";-25,9421;-52,1743
204;"Manoel Ribas";-24,5144;-51,6658
205;"Marechal Cândido Rondon";-24,557;-54,0571
206;"Maria Helena";-23,6158;-53,2053
207;"Marialva";-23,4843;-51,7928
208;"Marilândia do Sul";-23,7425;-51,3137
209;"Marilena";-22,7336;-53,0402
210;"Mariluz";-24,0089;-53,1432
211;"Maringá";-23,4205;-51,9333
212;"Mariópolis";-26,355;-52,5532
213;"Maripá";-24,42;-53,8286
214;"Marmeleiro";-26,1472;-53,0267
215;"Marquinho";-25,112;-52,2497
216;"Marumbi";-23,7058;-51,6404
217;"Matelândia";-25,2496;-53,9935
218;"Matinhos";-25,8237;-48,549
219;"Mato Rico";-24,6995;-52,1454
220;"Mauá da Serra";-23,8988;-51,2277
221;"Medianeira";-25,2977;-54,0943
222;"Mercedes";-24,4538;-54,1618
223;"Mirador";-23,255;-52,7761
224;"Miraselva";-22,9657;-51,4846
225;"Missal";-25,0919;-54,2477
226;"Moreira Sales";-24,0509;-53,0102
227;"Morretes";-25,4744;-48,8345
228;"Munhoz de Melo";-23,1487;-51,7737
229;"Nossa Senhora das Graças";-22,9129;-51,7978
230;"Nova Aliança do Ivaí";-23,1763;-52,6032
231;"Nova América da Colina";-23,3308;-50,7168
232;"Nova Aurora";-24,5289;-53,2575
233;"Nova Cantu";-24,6723;-52,5661
234;"Nova Esperança do Sudoeste";-25,9004;-53,2618
235;"Nova Esperança";-23,182;-52,2031
236;"Nova Fátima";-23,4324;-50,5665
237;"Nova Laranjeiras";-25,3054;-52,5447
238;"Nova Londrina";-22,7639;-52,9868
239;"Nova Olímpia";-23,4703;-53,0898
240;"Nova Prata do Iguaçu";-25,6309;-53,3469
241;"Nova Santa Bárbara";-23,5865;-50,7598
242;"Nova Santa Rosa";-24,4693;-53,9552
243;"Nova Tebas";-24,438;-51,9454
244;"Novo Itacolomi";-23,7631;-51,5079
245;"Ortigueira";-24,2058;-50,9185
246;"Ourizona";-23,4053;-52,1964
247;"Ouro Verde do Oeste";-24,7933;-53,9043
248;"Paiçandu";-23,4555;-52,046
249;"Palmas";-26,4839;-51,9888
250;"Palmeira";-25,4257;-50,007
251;"Palmital";-24,8853;-52,2029
252;"Palotina";-24,2868;-53,8404
253;"Paraíso do Norte";-23,2824;-52,6054
254;"Paranacity";-22,9297;-52,1549
255;"Paranaguá";-25,5161;-48,5225
256;"Paranapoema";-22,6412;-52,0905
257;"Paranavaí";-23,0816;-52,4617
258;"Pato Bragado";-24,6271;-54,2265
259;"Pato Branco";-26,2292;-52,6706
260;"Paula Freitas";-26,2105;-50,931
261;"Paulo Frontin";-26,0466;-50,8304
262;"Peabiru";-23,914;-52,3431
263;"Perobal";-23,8949;-53,4098
264;"Pérola d'Oeste";-25,8278;-53,7433
265;"Pérola";-23,8039;-53,6834
266;"Piên";-26,0965;-49,4336
267;"Pinhais";-25,4429;-49,1927
268;"Pinhal de São Bento";-26,0324;-53,482
269;"Pinhalão";-23,7982;-50,0536
270;"Pinhão";-25,6944;-51,6536
271;"Piraí do Sul";-24,5306;-49,9433
272;"Piraquara";-25,4422;-49,0624
273;"Pitanga";-24,7588;-51,7596
274;"Pitangueiras";-23,2281;-51,5873
275;"Planaltina do Paraná";-23,0101;-52,9162
